Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.9213973799126638,0.9782813196747848,0.9027777777777778,0.9386281588447654,0.9203539823008849,0.8434485575979849
Decision Tree Classifier,0.9467248908296944,0.946923466925666,0.9378330373001776,0.9530685920577617,0.945389435989257,0.8935031497045717
K-Nearest Neighbors,0.9344978165938864,0.9778399824075941,0.9378427787934186,0.9259927797833934,0.9318801089918256,0.8688719412175947
Gaussian Naive Bayes,0.662882096069869,0.9727073368884653,1.0,0.30324909747292417,0.46537396121883656,0.4282981683234835
Random Forest,0.9676855895196507,0.9947024256751391,0.9543057996485061,0.98014440433213,0.9670525378450578,0.9356797562787762
